# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
71000 7.82 0.01 0.02 383.96+0.00j
72000 15.27 0.01 0.02 756.33+0.00j
73000 18.39 0.01 0.02 912.24+0.00j
74000 11.14 0.01 0.02 549.82+0.00j
75000 15.23 0.01 0.02 754.55+0.00j
76000 12.16 0.01 0.02 600.72+0.00j
77000 15.44 0.01 0.02 764.77+0.00j
78000 19.58 0.01 0.02 972.03-0.00j
79000 18.89 0.01 0.02 937.55+0.00j
80000 18.12 0.01 0.02 898.90+0.00j
81000 15.62 0.01 0.02 774.05+0.00j
82000 16.66 0.01 0.02 825.95+0.00j
83000 16.26 0.01 0.02 805.98+0.00j
84000 15.47 0.01 0.02 766.56+0.00j
85000 16.29 0.01 0.02 807.08+0.00j
86000 15.74 0.01 0.02 779.94+0.00j
87000 18.96 0.01 0.02 940.88+0.00j
88000 20.76 0.01 0.02 1030.89+0.00j
89000 17.12 0.01 0.02 848.74+0.00j
90000 11.09 0.01 0.02 547.44+0.00j
91000 14.61 0.01 0.02 723.21+0.00j
92000 12.83 0.01 0.02 634.39+0.00j
93000 11.98 0.01 0.02 591.76+0.00j
94000 14.99 0.01 0.02 742.29+0.00j
95000 12.86 0.01 0.02 636.06+0.00j
96000 17.07 0.01 0.02 846.08-0.00j
97000 12.32 0.01 0.02 608.88+0.00j
98000 14.22 0.01 0.02 703.66+0.00j
99000 9.29 0.01 0.02 457.51+0.00j
100000 13.91 0.01 0.02 688.22+0.00j
101000 13.55 0.01 0.02 670.13+0.00j
102000 19.30 0.01 0.02 958.05+0.00j
103000 17.03 0.01 0.02 844.16-0.00j
104000 14.00 0.01 0.02 693.03+0.00j
105000 15.59 0.01 0.02 772.56+0.00j
106000 15.74 0.01 0.02 779.90+0.00j
107000 15.32 0.01 0.02 758.77+0.00j
108000 13.06 0.01 0.02 645.76+0.00j
109000 12.67 0.01 0.02 626.26+0.00j
110000 17.88 0.01 0.02 886.77+0.00j
111000 13.45 0.01 0.02 665.54+0.00j
112000 18.08 0.01 0.02 896.70+0.00j
113000 18.60 0.01 0.02 922.66+0.00j
114000 18.64 0.01 0.02 924.66+0.00j
115000 14.67 0.01 0.02 726.30+0.00j
116000 14.81 0.01 0.02 733.48+0.00j
117000 14.89 0.01 0.02 737.27+0.00j
118000 21.52 0.01 0.02 1069.03+0.00j
119000 10.35 0.01 0.02 510.52+0.00j
120000 16.56 0.01 0.02 820.77+0.00j
121000 12.94 0.01 0.02 639.93+0.00j
122000 14.76 0.01 0.02 731.01+0.00j
123000 14.75 0.01 0.02 730.19+0.00j
124000 11.38 0.01 0.02 561.83+0.00j
125000 16.20 0.01 0.02 802.85+0.00j
126000 14.14 0.01 0.02 699.63+0.00j
127000 14.37 0.01 0.02 711.28+0.00j
128000 18.84 0.01 0.02 935.04+0.00j
129000 20.67 0.01 0.02 1026.48+0.00j
130000 16.27 0.01 0.02 806.31+0.00j
131000 12.95 0.01 0.02 640.30+0.00j
132000 18.46 0.01 0.02 915.61+0.00j
133000 12.86 0.01 0.02 636.02+0.00j
134000 18.19 0.01 0.02 902.09+0.00j
135000 22.00 0.01 0.02 1093.02+0.00j
136000 17.53 0.01 0.02 869.34+0.00j
137000 18.27 0.01 0.02 906.37+0.00j
138000 18.49 0.01 0.02 917.37+0.00j
139000 18.16 0.01 0.02 900.97+0.00j
140000 13.53 0.01 0.02 669.19+0.00j
141000 18.98 0.01 0.02 941.99+0.00j
142000 20.85 0.01 0.02 1035.20+0.00j
143000 18.60 0.01 0.02 922.93+0.00j
144000 15.38 0.01 0.02 761.82+0.00j
145000 14.82 0.01 0.02 733.84+0.00j
146000 21.00 0.01 0.02 1042.73+0.00j
147000 21.11 0.01 0.02 1048.56+0.00j
148000 18.32 0.01 0.02 908.89+0.00j
149000 14.05 0.01 0.02 695.44+0.00j
150000 9.50 0.01 0.02 467.67+0.00j
151000 17.28 0.01 0.02 856.87+0.00j
152000 12.32 0.01 0.02 608.60+0.00j
153000 18.76 0.01 0.02 930.70+0.00j
154000 18.63 0.01 0.02 924.42+0.00j
155000 11.01 0.01 0.02 543.14+0.00j
156000 18.59 0.01 0.02 922.50+0.00j
157000 16.19 0.01 0.02 802.33+0.00j
158000 13.66 0.01 0.02 675.78+0.00j
159000 15.25 0.01 0.02 755.54+0.00j
160000 11.06 0.01 0.02 545.82+0.00j
161000 15.23 0.01 0.02 754.50+0.00j
162000 19.57 0.01 0.02 971.38+0.00j
163000 14.57 0.01 0.02 721.13+0.00j
164000 17.47 0.01 0.02 866.49+0.00j
165000 14.33 0.01 0.02 709.55+0.00j
166000 15.71 0.01 0.02 778.18+0.00j
167000 17.54 0.01 0.02 869.63+0.00j
168000 18.08 0.01 0.02 896.73+0.00j
169000 18.78 0.01 0.02 931.72+0.00j
170000 18.01 0.01 0.02 893.11+0.00j
171000 15.13 0.01 0.02 749.37+0.00j
172000 19.63 0.01 0.02 974.25+0.00j
173000 15.50 0.01 0.02 767.76+0.00j
174000 17.15 0.01 0.02 850.09+0.00j
175000 19.03 0.01 0.02 944.54+0.00j
176000 12.04 0.01 0.02 594.57+0.00j
177000 13.44 0.01 0.02 664.67+0.00j
178000 23.44 0.01 0.02 1165.06+0.00j
179000 16.36 0.01 0.02 811.03+0.00j
180000 16.41 0.01 0.02 813.32+0.00j
181000 8.77 0.01 0.02 431.20+0.00j
182000 18.66 0.01 0.02 925.57+0.00j
183000 17.53 0.01 0.02 869.17+0.00j
184000 8.97 0.01 0.02 441.46+0.00j
185000 12.58 0.01 0.02 621.94+0.00j
186000 13.95 0.01 0.02 690.27+0.00j
187000 16.40 0.01 0.02 812.82+0.00j
188000 7.00 0.01 0.02 343.04+0.00j
189000 15.02 0.01 0.02 743.73+0.00j
190000 14.28 0.01 0.02 706.65+0.00j
191000 15.22 0.01 0.02 753.90+0.00j
192000 17.02 0.01 0.02 843.62+0.00j
193000 14.77 0.01 0.02 731.50+0.00j
194000 15.01 0.01 0.02 743.13+0.00j
195000 11.44 0.01 0.02 564.90+0.00j
196000 14.29 0.01 0.02 707.42+0.00j
197000 19.83 0.01 0.02 984.26+0.00j
198000 14.28 0.01 0.02 706.83+0.00j
199000 17.39 0.01 0.02 862.34+0.00j
