# step beta_muA_ex.real beta_muA_ex.imag beta_muB_ex.real beta_muB_ex.imag beta_P.real beta_P.imag
2800 2.6289707014711543 0.1455385298826806 2.813349659196708 0.032379947906534416 0.10592599354193345 0.002027146983146641
2900 2.6255157624843495 0.11635164630087523 2.8333953931257136 0.09116579089022167 0.10444383332531257 0.002487957142701704
3000 2.713257798914957 -0.22356485735094425 2.73480105759262 -0.21352667932142955 0.10546826583104785 -0.004948991404884058
3100 2.702984436972544 0.03260273336979868 2.7920084779765886 0.02317796419807015 0.1057521536916475 0.0003297678009874764
3200 2.6744406030394607 0.0048628424209677095 2.798306158794213 0.02503750979248372 0.10413471460187158 0.00022126438206424075
3300 2.7122288847099534 -0.017688208970572605 2.7776079785972496 -0.009921122972822076 0.10445452534484843 -0.00030537964235638823
3400 2.7572862505687845 0.04089397072970511 2.7195183417435236 -0.05238870579890389 0.10505429908269455 -9.95344058627054e-05
3500 2.923523548533722 0.24059104918413957 2.6081267921016216 0.19624070214012848 0.10447069727488295 0.004568427761742787
3600 2.829687032907378 -0.0029462675270888576 2.7436696846796207 0.035506845285593794 0.1042992229081162 0.00044059840448368423
3700 2.696859345160663 0.05454546145664617 2.7935802635736886 0.06305715432816988 0.1042783047107634 0.0011246246172466295
3800 2.760556385633763 -0.08594057886561067 2.696158984910347 -0.069770457461958 0.10409901729001582 -0.001546467376473007
3900 2.7507719049239596 0.02656006378840068 2.8421941873278755 0.003724039313797939 0.10240883094221268 0.0001627301064368229
4000 2.669491226125305 0.009153399472680908 2.8304471492476586 0.09664561006121804 0.10480167170435815 0.0017320443940653507
4100 2.728961470773854 0.15853065770125907 2.7545228000363005 0.14037277108485385 0.1041498941290127 0.0025151152857136273
4200 2.8262714986669755 -0.0473189182043307 2.723318082473052 -0.0065031306204228435 0.10513597370871133 0.00015771287100339887
4300 2.755575172481008 -0.030960357096665045 2.7414565292970763 -0.025127638463985476 0.10348735452098598 -0.0005941623935967671
4400 2.686157214924642 0.021983603141693155 2.8348863911470454 0.06328393789013993 0.1044544716052273 0.0008722070236012249
4500 2.8554462601632333 -0.033147873875321435 2.6510325768978062 0.020432612615184177 0.10508287250356695 0.00015582762291729385
4600 2.734877834563006 -0.013592403893183884 2.8387906915677528 -0.014262641992437227 0.10421509739534483 -0.0007490903856354305
4700 2.6084355882483665 0.12429799649328294 2.830227281435071 0.13708637418478883 0.10530683386454033 0.0028642176537336935
4800 2.785717437662116 -0.06636606137131569 2.7583460220289924 -0.10393537631642977 0.10470547086884624 -0.0014601835112994003
4900 2.7978150249691653 0.07933307583414474 2.6451494487502822 0.04701043194474238 0.10606068783498433 0.000434839231855736
5000 2.7657869983216856 0.1163673797485117 2.75963307895043 0.08744540187008217 0.10449141720849524 0.0017838196002437467
5100 2.6785200949220913 0.041720164082451786 2.7887725636654745 -0.021847106104325158 0.10476618310164272 0.00045801754940489995
5200 2.729929958504276 0.006314279146967364 2.775360059283961 0.048745070576802225 0.10322187053845133 0.0008553817631610282
5300 2.732012388075162 0.14427405326672363 2.7954138467938234 0.07353020534096369 0.10341505123860968 0.001859252910817954
5400 2.705231885396425 -0.04790062774325304 2.823544830478059 -0.04245847591980039 0.10378724734125461 -0.0003859324856171342
5500 2.8085799526133877 -0.04341082542610619 2.7231462906596646 -0.06766242450647955 0.10487129437841852 -0.001152683850641422
5600 2.8067797006755733 -0.0785444786201086 2.6876256677824415 -0.11080740486377373 0.10418243045494964 -0.001531580508491929
5700 2.6676121921033547 -0.0076834366255541025 2.8404100939567027 -0.042346333411509056 0.10292832670761956 -0.00038075640526731694
5800 2.8014652823037363 -0.07160432503798703 2.7330894179925194 -0.04601868644224441 0.10354434021380578 -0.0005565208412754835
5900 2.784574811587435 0.11560993256476645 2.749486134167114 0.09241329083321116 0.10427119768822124 0.0025523295818088753
6000 2.6047622313454357 0.15716053814248368 2.9081296477994076 0.11325017371221187 0.10456536482569262 0.002784764316819662
6100 2.933085251341699 -0.08640623858993472 2.6122203866746965 -0.14060604577797886 0.10307381642949417 -0.0025722084884364266
6200 2.675274800718387 0.029581700163514652 2.831559395698135 -0.015483117129326991 0.10340597334983787 -0.00021979966612170788
6300 2.8069218075859466 0.1413973389253465 2.756437946540659 0.14415477385144923 0.1060991336292758 0.0034558795885910537
6400 2.6396088684173273 0.11993485663205018 2.8550270986033155 0.0894213123798317 0.10441487164100101 0.0017045642604574637
6500 2.878802663954207 -0.11085471222861688 2.686731889650921 -0.06727016705503427 0.10340011758415561 -0.001831149118930333
6600 2.731874470310103 0.03336708718281533 2.826467612468193 0.07423676111390445 0.10456796871300862 0.0018467576469460866
6700 2.79477457970883 -0.009178516539630713 2.672887944591081 -0.01854181777482561 0.10431528937888014 -1.1152388126208111e-05
6800 2.7254167800079436 0.043445762750141996 2.804289702961018 -0.02385767460021916 0.10565132653669877 4.9601550933561875e-05
6900 2.813287057918664 0.024803017596181236 2.6100117907583544 0.043809970526510006 0.10501149986627356 0.000423462393414817
