# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
176000 -8.30 0.00 0.02 -90.23-0.00j
177000 -11.28 0.00 0.02 -119.95-0.00j
178000 -7.16 0.00 0.02 -78.79+0.00j
179000 -7.59 0.00 0.02 -83.06+0.00j
180000 -10.31 0.00 0.02 -110.29+0.00j
181000 -6.73 0.00 0.02 -74.48+0.00j
182000 -12.18 0.00 0.02 -128.98+0.00j
183000 -9.91 0.00 0.02 -106.29+0.00j
184000 -11.47 0.00 0.02 -121.86+0.00j
185000 -14.09 -0.00 0.02 -148.09+0.00j
186000 -7.33 0.00 0.02 -80.50-0.00j
187000 -10.25 0.00 0.02 -109.72+0.00j
188000 -12.21 0.00 0.02 -129.24+0.00j
189000 -5.90 0.00 0.02 -66.16+0.00j
190000 -8.74 0.00 0.02 -94.57+0.00j
191000 -13.82 0.00 0.02 -145.39+0.00j
192000 -15.72 -0.00 0.02 -164.34+0.00j
193000 -12.19 0.00 0.02 -129.11+0.00j
194000 -11.08 0.00 0.02 -118.00-0.00j
195000 -16.70 -0.00 0.02 -174.16+0.00j
196000 -12.63 0.00 0.02 -133.49+0.00j
197000 -14.86 -0.00 0.02 -155.76-0.00j
198000 -4.63 0.00 0.02 -53.50-0.00j
199000 -12.28 0.00 0.02 -129.99-0.00j
