# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
15800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
15900 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
16000 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
16100 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
16200 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
16300 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
16400 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
16500 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
16600 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
16700 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
16800 -0.03 -0.00 0.03 -0.01 1.02 0.01-0.00j
16900 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
17000 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
17100 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
17200 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
17300 -0.03 -0.00 0.03 -0.00 1.07 0.01-0.00j
17400 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
17500 -0.03 -0.00 0.03 -0.00 1.06 0.01-0.00j
17600 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
17700 -0.03 -0.00 0.03 -0.00 1.07 0.01-0.00j
17800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
17900 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
18000 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
18100 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
18200 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
18300 -0.03 -0.00 0.03 -0.00 1.06 0.01-0.00j
18400 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
18500 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
18600 -0.03 0.00 0.03 -0.00 1.07 0.01+0.00j
18700 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
18800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
18900 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
19000 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
19100 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
19200 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
19300 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
19400 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
19500 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
19600 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
19700 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
19800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
19900 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
20000 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
20100 -0.03 0.00 0.03 -0.00 1.08 0.01+0.00j
20200 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
20300 -0.03 0.00 0.03 -0.01 1.01 0.01+0.00j
20400 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
20500 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
20600 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
20700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
20800 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
20900 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
21000 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
21100 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
21200 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
21300 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
21400 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
21500 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
21600 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
21700 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
21800 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
21900 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
22000 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
22100 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
22200 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
22300 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
22400 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
22500 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
22600 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
22700 -0.03 -0.00 0.03 -0.00 1.07 0.01-0.00j
22800 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
22900 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
23000 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
23100 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
23200 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
23300 -0.03 -0.00 0.03 -0.00 1.05 0.01-0.00j
23400 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
23500 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
23600 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
23700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
23800 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
23900 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
24000 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
24100 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
24200 -0.03 0.00 0.03 -0.01 1.01 0.01+0.00j
24300 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
24400 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
24500 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
24600 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
24700 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
24800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
24900 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
25000 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
25100 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
25200 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
25300 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
25400 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
25500 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
25600 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
25700 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
25800 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
25900 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
26000 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
26100 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
26200 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
26300 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
26400 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
26500 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
26600 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
26700 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
26800 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
26900 -0.03 -0.00 0.03 -0.01 1.01 0.01-0.00j
27000 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
27100 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
27200 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
27300 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
27400 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
27500 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
27600 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
27700 -0.03 -0.00 0.03 -0.00 1.06 0.01-0.00j
27800 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
27900 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
28000 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
28100 -0.03 0.00 0.03 -0.00 1.07 0.01+0.00j
28200 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
28300 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
28400 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
28500 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
28600 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
28700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
28800 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
28900 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
29000 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
29100 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
29200 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
29300 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
29400 -0.03 0.00 0.03 -0.00 1.08 0.01+0.00j
29500 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
29600 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
29700 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
29800 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
29900 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
30000 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
30100 -0.03 -0.00 0.03 -0.00 1.05 0.01-0.00j
30200 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
30300 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
30400 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
30500 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
30600 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
30700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
30800 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
30900 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
31000 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
31100 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
31200 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
31300 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
31400 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
31500 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
31600 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
31700 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
31800 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
31900 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
32000 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
32100 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
32200 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
32300 -0.03 -0.00 0.03 -0.00 1.06 0.01-0.00j
32400 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
32500 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
32600 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
32700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
32800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
32900 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
33000 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
33100 -0.03 0.00 0.03 -0.00 1.07 0.01+0.00j
33200 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
33300 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
33400 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
33500 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
33600 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
33700 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
33800 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
33900 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
34000 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
34100 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
34200 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
34300 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
