# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
2640000 93.35 -1.27 51.04 -0.07 1.00 102.33-1.27j
2650000 93.31 -1.10 51.02 -0.02 1.00 102.29-1.10j
2660000 93.27 -0.90 51.08 0.04 1.00 102.25-0.90j
2670000 93.31 -0.79 51.15 -0.06 1.00 102.29-0.79j
2680000 93.31 -0.77 51.34 -0.17 1.00 102.29-0.77j
2690000 93.27 -0.69 51.15 0.12 1.00 102.25-0.69j
2700000 93.32 -0.56 51.26 0.02 1.00 102.30-0.56j
2710000 93.35 -0.85 51.42 0.02 1.00 102.33-0.85j
2720000 93.38 -0.81 51.23 -0.13 1.00 102.36-0.81j
2730000 93.33 -0.73 51.12 0.16 1.00 102.31-0.73j
2740000 93.30 -0.85 51.11 -0.09 1.00 102.28-0.85j
2750000 93.37 -0.56 51.23 0.02 1.00 102.35-0.56j
2760000 93.38 -0.64 51.21 -0.13 1.00 102.36-0.64j
2770000 93.64 -0.53 50.86 -0.57 1.00 102.62-0.53j
2780000 93.34 -0.26 51.24 0.11 1.00 102.32-0.26j
2790000 93.38 -0.61 51.30 -0.09 1.00 102.36-0.61j
2800000 93.37 -0.29 51.28 0.12 1.00 102.35-0.29j
2810000 93.39 -0.41 51.18 0.08 1.00 102.37-0.41j
2820000 93.40 -0.16 51.03 0.13 1.00 102.38-0.16j
2830000 93.40 -0.53 51.21 0.07 1.00 102.38-0.53j
2840000 93.44 -0.42 51.12 0.07 1.00 102.42-0.42j
2850000 93.40 -0.32 51.12 0.08 1.00 102.38-0.32j
2860000 93.41 -0.26 51.22 0.01 1.00 102.38-0.26j
2870000 93.40 -0.37 51.24 -0.11 1.00 102.38-0.37j
2880000 93.33 -0.30 51.26 0.08 1.00 102.31-0.30j
2890000 93.36 -0.30 51.04 -0.01 1.00 102.34-0.30j
2900000 93.37 -0.12 51.26 -0.03 1.00 102.35-0.12j
2910000 93.38 -0.26 51.19 -0.04 1.00 102.36-0.26j
2920000 93.34 -0.49 51.18 -0.21 1.00 102.32-0.49j
2930000 93.33 -0.30 51.15 -0.16 1.00 102.31-0.30j
2940000 93.30 -0.58 51.13 -0.23 1.00 102.28-0.58j
2950000 93.36 -0.45 51.08 -0.00 1.00 102.34-0.45j
2960000 93.35 -0.21 51.28 -0.01 1.00 102.33-0.21j
2970000 93.36 -0.41 51.23 -0.07 1.00 102.33-0.41j
2980000 93.28 -0.33 51.24 -0.05 1.00 102.26-0.33j
2990000 93.31 0.25 51.16 0.14 1.00 102.29+0.25j
3000000 93.29 -0.18 51.22 -0.02 1.00 102.27-0.18j
3010000 93.33 -0.16 51.28 0.05 1.00 102.31-0.16j
3020000 93.28 -0.30 51.20 -0.02 1.00 102.26-0.30j
3030000 93.28 -0.36 51.10 0.02 1.00 102.26-0.36j
3040000 93.30 -0.47 51.21 -0.11 1.00 102.28-0.47j
3050000 93.29 -0.46 51.16 -0.10 1.00 102.27-0.46j
3060000 93.27 -0.58 51.28 -0.04 1.00 102.25-0.58j
3070000 93.28 -0.61 51.08 0.03 1.00 102.26-0.61j
3080000 93.29 -0.38 51.17 -0.04 1.00 102.27-0.38j
3090000 93.31 -0.16 51.15 0.03 1.00 102.29-0.16j
3100000 93.31 -0.18 51.20 0.06 1.00 102.29-0.18j
3110000 93.28 -0.25 51.07 -0.07 1.00 102.26-0.25j
3120000 93.29 -0.28 51.20 -0.09 1.00 102.27-0.28j
3130000 93.33 -0.15 51.17 -0.01 1.00 102.31-0.15j
3140000 93.33 0.17 51.07 0.28 1.00 102.31+0.17j
3150000 93.31 -0.10 51.14 -0.02 1.00 102.29-0.10j
3160000 93.37 0.06 51.17 0.09 1.00 102.35+0.06j
3170000 93.37 0.06 51.15 -0.08 1.00 102.34+0.06j
3180000 93.29 -0.19 51.14 -0.15 1.00 102.27-0.19j
3190000 93.39 -0.27 51.33 -0.13 1.00 102.37-0.27j
3200000 93.36 0.00 51.09 0.02 1.00 102.34+0.00j
3210000 93.35 -0.04 51.24 -0.08 1.00 102.33-0.04j
3220000 93.34 -0.19 51.28 -0.21 1.00 102.32-0.19j
3230000 93.34 -0.34 51.29 -0.12 1.00 102.32-0.34j
3240000 93.39 -0.60 51.18 -0.19 1.00 102.37-0.60j
3250000 93.36 -0.58 51.11 -0.21 1.00 102.34-0.58j
3260000 93.42 -0.32 51.09 0.01 1.00 102.40-0.32j
3270000 93.32 -0.22 51.14 -0.20 1.00 102.30-0.22j
3280000 93.34 0.03 51.21 -0.03 1.00 102.32+0.03j
