# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
66000 | -0.0719 | 16.4627 | 3.9729 | 3.3359| 1.5625 | -2.0620+0.2581j | 823.8553-16.7345j
67000 | -0.0685 | 16.6418 | 3.9738 | 3.3359| 1.5625 | -1.8892-0.4640j | 832.8104+30.5189j
68000 | -0.0771 | 16.1143 | 3.9732 | 3.3359| 1.5625 | -2.3238+0.6987j | 806.4331-44.5057j
69000 | -0.0673 | 16.7152 | 3.9739 | 3.3359| 1.5625 | -1.8300+0.3317j | 836.4806-21.0244j
70000 | -0.0555 | 17.4783 | 3.9736 | 3.3359| 1.5625 | -1.2426-1.3670j | 874.6326+88.4538j
71000 | -0.0660 | 16.8151 | 3.9734 | 3.3359| 1.5625 | -1.7672-0.3215j | 841.4743+19.2121j
72000 | -0.0669 | 16.7734 | 3.9732 | 3.3359| 1.5625 | -1.8114+0.8015j | 839.3873-51.8443j
73000 | -0.0672 | 16.7452 | 3.9734 | 3.3359| 1.5625 | -1.8265-0.5910j | 837.9769+37.0377j
74000 | -0.0934 | 15.0414 | 3.9739 | 3.3359| 1.5625 | -3.1352+1.1002j | 752.7895-70.3597j
75000 | -0.0679 | 16.7026 | 3.9733 | 3.3359| 1.5625 | -1.8623+0.5460j | 835.8476-34.6112j
76000 | -0.0514 | 17.7445 | 3.9735 | 3.3359| 1.5625 | -1.0379+0.8104j | 887.9446-51.4706j
77000 | -0.0802 | 15.8886 | 3.9738 | 3.3359| 1.5625 | -2.4771-1.5825j | 795.1479+100.4417j
78000 | -0.0634 | 16.9817 | 3.9736 | 3.3359| 1.5625 | -1.6369-1.2066j | 849.8028+76.8702j
79000 | -0.0949 | 14.9492 | 3.9738 | 3.3359| 1.5625 | -3.2111-0.4974j | 748.1776+31.9286j
80000 | -0.0599 | 17.1971 | 3.9736 | 3.3359| 1.5625 | -1.4622+0.5985j | 860.5743-37.8254j
81000 | -0.0869 | 15.4432 | 3.9742 | 3.3359| 1.5625 | -2.8110+0.2777j | 772.8792-17.0531j
82000 | -0.0984 | 14.7670 | 3.9731 | 3.3359| 1.5625 | -3.3840-0.3795j | 739.0659+25.4689j
83000 | -0.0778 | 16.0321 | 3.9740 | 3.3359| 1.5625 | -2.3558+1.3442j | 802.3245-85.6132j
84000 | -0.0376 | 18.6344 | 3.9733 | 3.3359| 1.5625 | -0.3473+0.1720j | 932.4407-10.1171j
85000 | -0.0813 | 15.8247 | 3.9737 | 3.3359| 1.5625 | -2.5293-0.3130j | 791.9525+19.6195j
86000 | -0.0661 | 16.7884 | 3.9738 | 3.3359| 1.5625 | -1.7709-0.6923j | 840.1364+42.9348j
87000 | -0.0856 | 15.5305 | 3.9740 | 3.3359| 1.5625 | -2.7481-0.6847j | 777.2446+44.6097j
88000 | -0.0496 | 17.8654 | 3.9734 | 3.3359| 1.5625 | -0.9472-0.5392j | 893.9901+34.6707j
89000 | -0.0797 | 15.9424 | 3.9735 | 3.3359| 1.5625 | -2.4494-0.4870j | 797.8364+31.1955j
90000 | -0.0634 | 16.9767 | 3.9736 | 3.3359| 1.5625 | -1.6359-0.4285j | 849.5511+28.3968j
